Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1875-09-30,4.37,0.3075,0.385,11.13207107,4.75,112.1314742019519,7.89025819613277,9.878859855320705,
1875-10-31,4.3,0.305,0.3767,11.13207107,4.710000000000001,110.33531786462083,7.826109755513804,9.665887032465738,
1875-11-30,4.37,0.3025,0.3683,11.03690579,4.67,113.09832336622672,7.828888516769698,9.531833523062083,
1875-12-31,4.37,0.3,0.36,10.9417405,4.63,114.0819908861849,7.8317156214772226,9.398058745772667,
1876-01-31,4.46,0.3,0.3533,10.84657521,4.59,117.45304811287066,7.900429245260358,9.304072174501615,
1876-02-29,4.52,0.3,0.3467,10.84657521,4.578333333333333,119.0331339619227,7.900429245260358,9.130262731105887,
1876-03-31,4.51,0.3,0.34,10.84657521,4.566666666666666,118.76978632041404,7.900429245260358,8.953819811295071,
1876-04-30,4.34,0.3,0.3333,10.75149091,4.555000000000001,115.30366256897109,7.970299255919661,8.855002473326742,
1876-05-31,4.18,0.3,0.3267,10.37091074,4.543333333333333,115.12813001030611,8.262784450500439,8.998172266594977,
1876-06-30,4.15,0.3,0.32,10.08541488,4.531666666666666,117.53748498247205,8.49668566138352,9.063131372142422,
1876-07-31,4.1,0.3,0.3133,10.08541488,4.52,116.12137070557476,8.49668566138352,8.87337205903819,
1876-08-31,3.93,0.3,0.3067,10.18058017,4.508333333333334,110.26611855658123,8.417260958517652,8.605246453257879,
1876-09-30,3.69,0.3,0.3,10.27574545,4.496666666666667,102.57348093417397,8.339307393022274,8.339307393022274,
1876-10-31,3.67,0.3,0.2933,10.46599504,4.485,100.16306485847522,8.187716473444842,8.004857472204574,
1876-11-30,3.6,0.3,0.2867,10.56116033,4.473333333333334,97.36725585719805,8.113937988099837,7.75422007062741,
1876-12-31,3.58,0.3,0.28,10.75149091,4.461666666666667,95.11223778730796,7.970299255919661,7.438945972191686,
1877-01-31,3.55,0.2908,0.2817,10.9417405,4.45,92.6753015208138,7.591543009085255,7.353980968567113,
1877-02-28,3.34,0.2817,0.2833,10.65632562,4.440833333333333,89.52844667297244,7.550947134064772,7.593835012710507,
1877-03-31,3.17,0.2725,0.285,10.18058017,4.431666666666667,88.94239079500318,7.645678703986867,7.996397910591768,
1877-04-30,2.94,0.2633,0.2867,10.46599504,4.4225,80.23962143975945,7.186085824860088,7.824727709788787,
1877-05-31,2.94,0.2542,0.2883,10.65632562,4.413333333333333,78.8064770115386,6.813811719841195,7.727859633478428,
1877-06-30,2.73,0.245,0.29,10.08541488,4.404166666666667,77.31983951859003,6.938959956796541,8.21346280600407,
1877-07-31,2.85,0.2358,0.2917,10.18058017,4.395,79.96397910591769,6.615967113394874,8.184383405331996,
1877-08-31,3.05,0.2267,0.2933,9.8,4.385833333333333,88.89878571428571,6.607657285714285,8.548857,
1877-09-30,3.24,0.2175,0.295,9.704834711,4.376666666666667,95.36278644199982,6.401668534300913,8.682722839626525,
1877-10-31,3.31,0.2083,0.2967,9.704834711,4.367500000000001,97.42309355648746,6.13088531353968,8.732758869549798,
1877-11-30,3.26,0.1992,0.2983,9.514585124,4.358333333333333,97.87004980922592,5.9802803441711045,8.955409772420888,
1877-12-31,3.25,0.19,0.3,9.514585124,4.349166666666666,97.5698349325105,5.704082657592922,9.006446301462509,
1878-01-31,3.25,0.1892,0.3008,9.229089256,4.34,100.5880942582142,5.855774594970501,9.309815000883333,
1878-02-28,3.18,0.1883,0.3017,9.134004959,4.33,99.44614263702417,5.888587628475361,9.43487460175792,
1878-03-31,3.24,0.1875,0.3025,8.94367438,4.32,103.47873152331829,5.988352518710548,9.661208730186353,
1878-04-30,3.33,0.1867,0.3033,8.848509091,4.3100000000000005,107.49696363735136,6.0269318651932435,9.790939661023625,
1878-05-31,3.34,0.1858,0.3042,8.563094215,4.3,111.41349797702769,6.197792791656211,10.147301222937672,
1878-06-30,3.41,0.185,0.305,8.372844628,4.29,116.33312969198933,6.311328150445168,10.4051626264096,
1878-07-31,3.48,0.1842,0.3058,8.467928926,4.279999999999999,117.38810855484498,6.213474021782312,10.315311378181494,
1878-08-31,3.45,0.1833,0.3067,8.563094215,4.27,115.08280479663041,6.114399454847058,10.230694559746825,
1878-09-30,3.52,0.1825,0.3075,8.563094215,4.26,117.41781822728667,6.087713587068129,10.257380427525753,
1878-10-31,3.48,0.1817,0.3083,8.467928926,4.25,117.38810855484498,6.129143484027394,10.399641915936412,
1878-11-30,3.47,0.1808,0.3092,8.372844628,4.239999999999999,118.38004692997154,6.168043943786413,10.548446833068356,
1878-12-31,3.45,0.18,0.31,8.18251405,4.2299999999999995,120.43546689663185,6.283589577215575,10.8217376052046,
1879-01-31,3.58,0.1817,0.3158,8.277679339,4.22,123.53684144082062,6.2700123155857845,10.897467744975184,
1879-02-28,3.71,0.1833,0.3217,8.372844628,4.203333333333333,126.5677158819004,6.253332162035671,10.97488792431465,
1879-03-31,3.65,0.185,0.3275,8.277679339,4.186666666666666,125.95236627346237,6.383887057696038,11.301205467002447,
1879-04-30,3.77,0.1867,0.3333,8.18251405,4.17,131.60629281168175,6.517478744811933,11.635113367144172,
1879-05-31,3.94,0.1883,0.3392,8.18251405,4.153333333333332,137.54079407905203,6.573332874387181,11.841075469952905,
1879-06-30,3.96,0.19,0.345,8.087381157,4.136666666666667,139.8650932905449,6.710698920505943,12.185216460918685,
1879-07-31,4.04,0.1917,0.3508,8.18251405,4.119999999999999,141.03167717750512,6.692022899734588,12.246017909373464,
1879-08-31,4.07,0.1933,0.3567,8.18251405,4.103333333333333,142.07894210704106,6.747877029309837,12.451980012182199,
1879-09-30,4.22,0.195,0.3625,8.467928926,4.086666666666666,142.34994773030053,6.577781944883555,12.22792797446302,
1879-10-31,4.68,0.1967,0.3683,8.94367438,4.069999999999999,149.46927886701528,6.2821810156286135,11.762721240752509,
1879-11-30,4.93,0.1983,0.3742,9.419419835,4.053333333333333,149.50125216496417,6.0134073639578896,11.34753926168957,
1879-12-31,4.92,0.2,0.38,9.704834711,4.036666666666667,144.8101571897034,5.886591755679,11.184524335790101,
1880-01-31,5.11,0.205,0.3892,9.990330579,4.02,146.1043364338905,5.861328565351771,11.12794672017029,
1880-02-29,5.2,0.21,0.3983,9.990330579,3.993333333333333,148.67760263331323,6.004287798653034,11.388132524778587,
1880-03-31,5.3,0.215,0.4075,10.08541488,3.9666666666666663,150.10811335110884,6.08929139065819,11.541331356712615,
1880-04-30,5.18,0.22,0.4167,9.704834711,3.9399999999999995,152.4627264720861,6.475250931246901,12.264713922957199,
1880-05-31,4.77,0.225,0.4258,9.419419835,3.913333333333333,144.64928454906266,6.823079459861448,12.912298817817797,
1880-06-30,4.79,0.23,0.435,9.229089256,3.8866666666666667,148.2513758451834,7.118542055196698,13.463329539176362,
1880-07-31,5.01,0.235,0.4442,9.229089256,3.8600000000000003,155.06041607189326,7.273292969440103,13.74807122138423,
1880-08-31,5.19,0.24,0.4533,9.229089256,3.8333333333333335,160.63144898465592,7.42804388368351,14.029717885307228,
1880-09-30,5.18,0.245,0.4625,9.324254545,3.8066666666666666,158.68566788467055,7.505403210761444,14.168363203988443,
1880-10-31,5.33,0.25,0.4717,9.324254545,3.7800000000000002,163.28081270758574,7.6585747048586175,14.450198753127237,
1880-11-30,5.61,0.255,0.4808,9.419419835,3.7533333333333334,170.12211453254542,7.732823387842974,14.58016268578393,
1880-12-31,5.84,0.26,0.49,9.514585124,3.726666666666667,175.32548800180348,7.80558679460084,14.710528959055429,
1881-01-31,6.19,0.265,0.4858,9.419419835,3.7,187.71049714018827,8.036071363836816,14.73178667378085,18.473952301404935
1881-02-28,6.17,0.27,0.4817,9.514585124,3.693333333333334,185.23257893341224,8.105801671316257,14.461350611381635,18.147258164990234
1881-03-31,6.24,0.275,0.4775,9.514585124,3.686666666666667,187.33408307042018,8.255909109673967,14.335260363161156,18.270119140204994
1881-04-30,6.22,0.28,0.4733,9.609669421,3.68,184.8859895343948,8.322841972609416,14.068575377271554,17.95010827822289
1881-05-31,6.5,0.285,0.4692,9.514585124,3.673333333333334,195.139669865021,8.556123986389382,14.086082015487364,18.869718693152592
1881-06-30,6.58,0.29,0.465,9.514585124,3.666666666666667,197.54138887874433,8.706231424747092,13.959991767266889,19.02871073111578
1881-07-31,6.35,0.295,0.4608,9.609669421,3.66,188.7501661645349,8.768708506856346,13.697019932065777,18.116367187389738
1881-08-31,6.2,0.3,0.4567,9.8,3.6533333333333333,180.71228571428568,8.744142857142856,13.311500142857142,17.286243553973442
1881-09-30,6.25,0.305,0.4525,10.18058017,3.646666666666667,175.35960330245106,8.557548641159611,12.696035279097458,16.7248366487729
1881-10-31,6.15,0.31,0.4483,10.27574545,3.64,170.95580155695663,8.617284306123016,12.461705014306283,16.26198941118135
1881-11-30,6.19,0.315,0.4442,10.18058017,3.6333333333333337,173.67615111074755,8.838124006443534,12.463157725911802,16.47864231664487
1881-12-31,6.01,0.32,0.44,10.18058017,3.626666666666667,168.62579453563694,8.978411689085494,12.345316072492555,15.958754206105077
1882-01-31,5.92,0.32,0.4392,10.18058017,3.62,166.10061624808165,8.978411689085494,12.322870043269841,15.678764160028742
1882-02-28,5.79,0.32,0.4383,10.27574545,3.6208333333333336,160.9486326853299,8.895261219223759,12.183728101205544,15.15386152836304
1882-03-31,5.78,0.32,0.4375,10.27574545,3.621666666666667,160.67065577222917,8.895261219223759,12.161489948157483,15.091670299486747
